2	Suomen pitää olla edelläkävijä ilmastonmuutoksen vastaisessa taistelussa, vaikka se aiheuttaisi suomalaisille kustannuksia.
3	Suomen ei pidä kiirehtiä kieltämään uusien bensa- ja dieselautojen myyntiä.
4	Valtion pitää ohjata suomalaiset syömään vähemmän lihaa esimerkiksi verotuksen avulla.
5	Metsiä hakataan Suomessa liikaa.
6	Kun valtion menoja ja tuloja tasapainotetaan, se on tehtävä mieluummin menoja karsimalla kuin veroja kiristämällä.
7	Sosiaaliturvaa tulee kehittää niin, että osa nykyisistä tuista korvataan kaikille työikäisille maksettavalla, vastikkeettomalla perustulolla.
8	Euron ulkopuolella Suomi pärjäisi paremmin.
9	Sosiaali- ja terveyspalvelut on tuotettava ensisijaisesti julkisina palveluina.
10	Vanhustenhoidon ulkoistamista yksityisille toimijoille tulee lisätä.
11	Parantumattomasti sairaalla on oltava oikeus eutanasiaan.
12	Sukupuolen korjaamisen tulee olla mahdollista myös alle 18-vuotiaille.
13	Viinit ja vahvat oluet pitää saada ruokakauppoihin.
14	Energiajuomien myyminen alle 15-vuotiaille on kiellettävä.
15	Nuuskan, purutupakan ja nenänuuskan matkustajatuonnin raja lasketaan 1000 grammasta 100 grammaan vuorokaudessa.
16	Perhevapaita pitää uudistaa niin, että vapaat jakautuvat tasan vanhempien kesken.
17	Oppivelvollisuus pitää ulottaa myös ammatilliseen koulutukseen ja lukioon.
18	Koulujen kesälomia tulee siirtää kahdella viikolla niin, että ne alkavat kesäkuun puolivälissä ja päättyvät elokuun lopulla.
19	Korkeakoulujen määrää pitää vähentää ja vapautuneet voimavarat käyttää huippuopetukseen ja -tutkimukseen.
20	Maahanmuuttajien määrän kasvu on lisännyt turvattomuutta Suomessa.
21	Sosiaali- ja terveyspalveluiden rahoittaminen vaatii työperäisen maahanmuuton merkittävää lisäämistä.
22	Nato-jäsenyys vahvistaisi Suomen turvallisuuspoliittista asemaa.
23	Vihapuhe tulee määritellä ja asettaa rangaistavaksi rikoslaissa.
24	Perinteiset arvot ovat hyvän elämän perusta.
25	Suomessa tarvitaan nyt koviakin keinoja järjestyksen ja tavallisten ihmisten puolustamiseksi.
26	On oikein, että yhteiskunnassa jotkut ryhmät ovat paremmassa asemassa kuin toiset.
27	Suomen lakien pitäisi nykyistä vapaammin antaa ihmisten tehdä omat ratkaisunsa ja kantaa niiden seuraukset.
28	Poliitikon velvollisuus on ennen kaikkea ajaa omien äänestäjiensä etuja.
29	On olemassa pyhiä tai muuten yksilöä suurempia asioita, joita täytyy puolustaa silloinkin, kun se vaatii omien etujen uhraamista.
30	On oikein nähdä vaivaa sen eteen, ettei vahingossakaan loukkaa toista.
52	Uusimaa. Kaatolupia on myönnettävä nykyistä enemmän susikannan rajoittamiseksi.
53	Uusimaa. Loviisan ydinvoimalalle pitää myöntää jatkolupa vuoden 2030 jälkeenkin.
54	Uusimaa. Uudellemaalle pitää perustaa lisää osaamiskeskuksia, joissa maahanmuuttajat opiskelevat itselleen nopeasti ammatin ja oppivat kielen.
55	Uusimaa. Dragsvikin varuskunta pitää muuttaa kaksikieliseksi.
56	Uusimaa. Metro tulee jatkaa Helsingistä Sipooseen.
57	Helsinki. Kun Helsinki sulkee hiilivoimaloita, voidaan korvaavaa energiaa tuottaa ydinvoimalla.
58	Helsinki. Viranhaltijoiden kaksikielisyysvaatimuksia pitää lieventää, jotta maahanmuuttajien työllistyminen helpottuu.
59	Helsinki. Puolustusvoimien tulee luopua Santahaminan varuskuntasaaresta, jotta sinne voi rakentaa asuntoja.
60	Helsinki. Helsingin seudulla pitää ottaa käyttöön ruuhkamaksut.
61	Helsinki. Metro tulee jatkaa Helsingistä Sipooseen.
62	Varsinais-Suomi. Kaatolupia on myönnettävä nykyistä enemmän susi-, merimetso- ja hyljekantojen rajoittamiseksi.
63	Varsinais-Suomi. Tehokkain tapa vauhdittaa Varsinais-Suomen talouskasvua on myöntää Turun yliopistolle lupa perustaa teknillinen tiedekunta.
64	Varsinais-Suomi. Suomen on turvallisuustilanteen vuoksi kiristettävä ehtoja, joilla EU:n ulkopuolisten maiden kansalaiset saavat ostaa tontteja Saaristomereltä.
65	Varsinais-Suomi. Valtion on panostettava mieluummin tunnin junaan Turusta Helsinkiin kuin kasitien parantamiseen.
66	Varsinais-Suomi. Saariston yhteysalusliikenteen jatkuvuuden turvaamiseksi liikenteen tulisi olla maksullista kesäasukkaille ja matkailijoille.
67	Satakunta. Satakuntaan tulisi rakentaa runsaasti lisää tuulivoimaloita.
68	Satakunta. Satakuntaan tulee myöntää entistä enemmän kaatolupia susikannan olennaiseksi pienentämiseksi.
69	Satakunta. Olkiluoto 4:n rakentaminen olisi valtava myönteinen ilmastoteko.
70	Satakunta. Satakunnan erikoissairaanhoito on keskitettävä kokonaisuudessaan Poriin.
71	Satakunta. Porin lentokentän henkilöliikenteen tukeminen olisi rahan haaskausta.
72	Ahvenanmaa. llmastonmuutoksen hillitsemiseen tähtäävät toimet eivät saa vaikeuttaa Ahvenanmaan talouskasvua.
73	Ahvenanmaa. Ahvenanmaan erivapauksia on rajoitettava.
74	Ahvenanmaa. Ahvenanmaalaisten verotuskäytännöt on tehtävä yhtenäiseksi manner-Suomen kanssa.
75	Ahvenanmaa. Suomen kielen asemaa Ahvenanmaalla tulisi parantaa.
76	Ahvenanmaa. Ahvenanmaan demilitarisointi tulisi ottaa uudelleen pohdintaan Itämerellä kasvaneen sotilaallisen aktiivisuuden vuoksi.
77	Häme. Hämeeseen ei saa avata yhtään uutta kaivosta ennen kuin yhtiöiltä aletaan periä kaivosveroa.
78	Häme. Hämeeseen tulisi rakentaa runsaasti lisää tuulivoimaloita.
79	Häme. Suomen pitää hakea järjestettäväkseen talviolympiakisoja, joissa Lahti olisi yhtenä isäntäkaupunkina.
80	Häme. Pääradan kehittäminen on tärkeämpää kuin junayhteyksien parantaminen Lahden ja lentokentän välillä.
81	Häme. Tietulleja voidaan kerätä Hämeen teiden kunnossapidon parantamiseksi.
82	Pirkanmaa. Tampereen ei pidä enää antaa täyttää järvien rantoja rakentamista varten.
83	Pirkanmaa. Valtion pitää osallistua Oriveden kultakaivokselta löytyneen kaatopaikan puhdistamisen kustannuksiin.
84	Pirkanmaa. Raitiotien rakentamiseen Tampereen lähikuntiin on varattava suunnittelurahaa jo tulevalla vaalikaudella.
85	Pirkanmaa. Tampereen rantaväylän ruuhkien helpottaminen on tärkeämpää kuin joukkoliikenteen kehittäminen.
86	Pirkanmaa. Helsinki-Tampere-junayhteyttä on parannettava niin, että juna kulkee kaupunkien välin vain tunnissa.
87	Kaakkois-Suomi. Saimaan luontoarvoista voidaan tinkiä, jotta kaivosteollisuuteen syntyisi uusia työpaikkoja.
88	Kaakkois-Suomi. Lentoliikenteeseen tulee panostaa Kaakkois-Suomessa ilmastonmuutoksesta huolimatta.
89	Kaakkois-Suomi. Kaakkois-Suomeen riittää yksi ammattikorkeakoulu ja yksi yliopisto.
90	Kaakkois-Suomi. Helsingistä Kouvolaan on rakennettava oikorata eli niin sanottu itärata.
91	Kaakkois-Suomi. Parikkalan rajanylityspaikka tulee avata kansainväliselle liikenteelle.
92	Savo-Karjala. Jos koululaisen koulumatkan pituus on yli tunnin suuntaansa, on yhtenä päivänä viikossa oltava mahdollisuus etäkoulunkäyntiin.
93	Savo-Karjala. Suomen pitää edistää viisumivapautta Venäjän ja Suomen välillä.
94	Savo-Karjala. Pohjois-Karjalan prikaati tulee perustaa uudelleen.
95	Savo-Karjala. Nykyistä nopeamman junayhteyden rakentaminen Joensuusta ja Kuopiosta Helsinkiin on alueen tärkein liikennehanke.
96	Savo-Karjala. Raitiotieliikenne on realistinen tapa parantaa julkista liikennettä Itä-Suomessa.
97	Vaasa. Kaatolupia on myönnettävä nykyistä enemmän susi-, merimetso- ja hyljekantojen rajoittamiseksi.
98	Vaasa. Turpeen energiakäytöstä tulee luopua.
99	Vaasa. Turkistarhaus pitäisi kieltää lailla.
100	Vaasa. Vaasan keskussairaalan pitäisi olla laajan päivystyksen sairaala.
101	Vaasa. Maahanmuuttoa pitää lisätä, jotta maakuntien reunakunnissakin riittäisi asukkaita ja työvoimaa.
102	Keski-Suomi. Jyväskylän kaupunginteatterin ja museoiden kunnostamiseen on seuraavalla hallituskaudella ohjattava merkittäviä valtionavustuksia.
103	Keski-Suomi. Sosiaali- ja terveyspalveluiden järjestäminen on keskitettävä Keski-Suomessa yhteisen hallinnon alle, vaikkei sote- ja maakuntauudistus toteutuisikaan.
104	Keski-Suomi. Jyväskylän yliopisto ja ammattikorkeakoulu on järkevintä yhdistää saman hallinnon alle.
105	Keski-Suomi. Valtion tierahoitusta on tulevalla vaalikaudella Keski-Suomessa kohdennettava valtateiden parantamiseen, erityisesti nelostiehen.
106	Keski-Suomi. Jyväskylän on saatava nykyistä enemmän valtiontukea joukkoliikenteensä järjestämiseen.
107	Oulun vaalipiiri. Valtion pitää vähentää selvästi omistusosuuttaan Sotkamon Talvivaarassa kaivostoimintaa harjoittavasta Terrafame-yhtiöstä.
108	Oulun vaalipiiri. Pohjois-Pohjanmaalle ja Kainuuseen ei saa avata yhtään uutta kaivosta ennen kuin yhtiöiltä aletaan periä kaivosveroa.
109	Oulun vaalipiiri. Erikoissairaanhoitoa tulee keskittää entistä voimakkaammin (yliopistollisiin) keskussairaaloihin.
110	Oulun vaalipiiri. Liian suuri osa kaupallisesta marjanpoiminnasta on nyt ulkomaalaisten poimijoiden varassa.
111	Oulun vaalipiiri. Oulusta on tällä vuosikymmenellä tullut entistä turvattomampi paikka elää.
112	Lappi. Lappiin ei saa avata yhtään uutta kaivosta ennen kuin yhtiöiltä aletaan periä kaivosveroa.
113	Lappi. Mahdollisen uuden maakuntahallinnon toimintoja ja työpaikkoja on sijoitettava muuallekin kuin Rovaniemelle.
114	Lappi. Lapin erikoissairaanhoito on keskitettävä kokonaan Rovaniemelle Lapin keskussairaalaan.
115	Lappi. Alkuperäiskansojen oikeuksia koskeva ILO-sopimus pitää ratifioida seuraavalla hallituskaudella.
116	Lappi. Jäämeren rata pitää rakentaa.
